Id,Weekly_Sales
1_2_2013-05-03,49061.83640178571
1_2_2013-05-10,46765.70775595239
1_2_2013-05-17,45785.6569404762
1_2_2013-05-24,45944.7959077381
1_2_2013-05-31,47509.21669940477
1_2_2013-06-07,47920.66753869048
1_2_2013-06-14,47009.83114583335
1_2_2013-06-21,46684.81348809526
1_2_2013-06-28,47378.664851190486
1_2_2013-07-05,48785.64352380951
1_2_2013-07-12,45470.012336309526
1_2_2013-07-19,45094.77276488095
1_2_2013-07-26,44928.74880952382
1_3_2012-11-02,9238.962832908164
1_3_2012-11-09,9423.727547193877
1_3_2012-11-16,9465.978231717687
1_3_2012-11-23,9707.153372023808
1_3_2012-11-30,10683.598086309528
1_3_2012-12-07,12074.774901785715
1_3_2012-12-14,12710.435699404765
1_3_2012-12-21,13463.844166666664
1_3_2012-12-28,9369.132008928573
1_3_2013-01-04,14117.065056547623
1_3_2013-01-11,13567.455979166669
1_3_2013-01-18,12170.815363095235
1_3_2013-01-25,11463.821113095237
1_3_2013-02-01,11850.657486394559
1_3_2013-02-08,11916.69365603741
1_3_2013-02-15,10891.89148341837
1_3_2013-02-22,10552.539775085042
1_3_2013-03-01,11338.489982993202
1_3_2013-03-08,11057.201645408166
1_3_2013-03-15,8637.528794642856
1_3_2013-03-22,8514.949568452375
1_3_2013-03-29,9015.323312499995
1_3_2013-04-05,9296.335086309518
1_3_2013-04-12,8297.295223214282
1_3_2013-04-19,8513.550315476188
1_3_2013-04-26,8623.06069727891
1_3_2013-05-03,10030.705288690475
1_3_2013-05-10,9712.641922619045
1_3_2013-05-17,8337.388511904765
1_3_2013-05-24,8314.247276785714
1_3_2013-05-31,7864.341214285718
1_3_2013-06-07,8073.555687500002
1_3_2013-06-14,7985.462776785717
1_3_2013-06-21,7063.2386398809485
1_3_2013-06-28,7777.8969047619075
1_3_2013-07-05,8004.581869047624
1_3_2013-07-12,12579.952180059525
1_3_2013-07-19,18355.1056547619
1_3_2013-07-26,21164.133455357132
1_4_2012-11-02,36571.70305654764
1_4_2012-11-09,36468.47903869049
1_4_2012-11-16,36496.69351488097
1_4_2012-11-23,44991.37433035716
1_4_2012-11-30,38934.07338690477
1_4_2012-12-07,38262.081184523806
1_4_2012-12-14,38829.176297619044
1_4_2012-12-21,45239.92857142859
1_4_2012-12-28,39990.13921428571
1_4_2013-01-04,38952.205029761906
1_4_2013-01-11,36788.74152976192
1_4_2013-01-18,35035.76139583333
1_4_2013-01-25,35266.502258928565
1_4_2013-02-01,38643.620865221084
1_4_2013-02-08,39416.74336522108
1_4_2013-02-15,36764.30172619047
1_4_2013-02-22,36380.12543154762
1_4_2013-03-01,37796.97479464285
1_4_2013-03-08,38358.9832767857
1_4_2013-03-15,38181.73238392856
1_4_2013-03-22,37422.15204591837
1_4_2013-03-29,37756.255870323126
1_4_2013-04-05,40319.416815476165
1_4_2013-04-12,38548.52559523808
1_4_2013-04-19,37003.102988095234
1_4_2013-04-26,37080.581574404765
1_4_2013-05-03,39729.067
1_4_2013-05-10,36915.89452083334
1_4_2013-05-17,35945.00202083334
1_4_2013-05-24,37779.48804761906
1_4_2013-05-31,40581.42095238096
1_4_2013-06-07,40910.16086309525
1_4_2013-06-14,39263.92735416668
1_4_2013-06-21,38654.00061011906
1_4_2013-06-28,39389.52441964286
1_4_2013-07-05,42118.44692857141
1_4_2013-07-12,39648.396471088425
1_4_2013-07-19,38161.51147108844
1_4_2013-07-26,36998.75508673471
1_5_2012-11-02,26551.849577380955
1_5_2012-11-09,26782.897330357147
1_5_2012-11-16,26118.960574404773
1_5_2012-11-23,72083.85038988096
1_5_2012-11-30,33576.357785714295
1_5_2012-12-07,38896.6618720238
1_5_2012-12-14,44830.4159876443
1_5_2012-12-21,64944.05560714281
1_5_2012-12-28,32400.882964285724
1_5_2013-01-04,21918.409889880957
1_5_2013-01-11,19935.38622321429
1_5_2013-01-18,19555.751848214288
1_5_2013-01-25,22116.952922619043
1_5_2013-02-01,32783.068684523794
1_5_2013-02-08,38818.45626488096
1_5_2013-02-15,37610.37302678571
1_5_2013-02-22,31635.314511904762
1_5_2013-03-01,30164.577595238105
1_5_2013-03-08,27121.362348214276
1_5_2013-03-15,27690.987547619043
1_5_2013-03-22,26905.778499999993
1_5_2013-03-29,25138.4422827381
1_5_2013-04-05,25707.110800595256
1_5_2013-04-12,19196.746169642855
1_5_2013-04-19,18461.974470238092
1_5_2013-04-26,17656.147505952376
1_5_2013-05-03,18376.539511904746
1_5_2013-05-10,17806.22786904762
1_5_2013-05-17,17793.58407738095
1_5_2013-05-24,17896.530541666663
1_5_2013-05-31,18848.414779761904
1_5_2013-06-07,22601.514235119048
1_5_2013-06-14,21925.591952380953
1_5_2013-06-21,22728.8504702381
1_5_2013-06-28,20701.69884141157
1_5_2013-07-05,19558.251927721092
1_5_2013-07-12,18216.674758928573
1_5_2013-07-19,17729.94203869048
1_5_2013-07-26,16279.238544642862
1_6_2012-11-02,4396.159041666667
1_6_2012-11-09,3742.515770833333
1_6_2012-11-16,3547.494833333333
1_6_2012-11-23,19012.58042857143
1_6_2012-11-30,5576.473672619049
1_6_2012-12-07,6388.088175595239
1_6_2012-12-14,9600.434053571431
1_6_2012-12-21,20543.581892857143
1_6_2012-12-28,8242.992428571428
1_6_2013-01-04,2857.429970238095
1_6_2013-01-11,2457.9437321428563
1_6_2013-01-18,2306.3765505952374
1_6_2013-01-25,2424.6636071428557
1_6_2013-02-01,3748.3133601190484
1_6_2013-02-08,5939.882672619047
1_6_2013-02-15,4233.131541241498
1_6_2013-02-22,4178.814045068029
1_6_2013-03-01,5401.184330782315
1_6_2013-03-08,4315.5350085034015
1_6_2013-03-15,3882.2541130952386
1_6_2013-03-22,3715.280749999999
1_6_2013-03-29,4297.649502976189
1_6_2013-04-05,4382.048907738094
1_6_2013-04-12,4407.730330357142
1_6_2013-04-19,3377.564632440477
1_6_2013-04-26,3677.3580178571438
1_6_2013-05-03,5230.288303571431
1_6_2013-05-10,4378.693761904759
1_6_2013-05-17,5250.207422619045
1_6_2013-05-24,5350.698035714284
1_6_2013-05-31,4004.960260204081
1_6_2013-06-07,4311.252211309523
1_6_2013-06-14,4157.838372023809
1_6_2013-06-21,4353.694211309524
1_6_2013-06-28,4471.975801020409
1_6_2013-07-05,3135.04106207483
1_6_2013-07-12,2931.2415085034013
1_6_2013-07-19,3222.57287202381
1_6_2013-07-26,2818.539449404761
1_7_2012-11-02,22096.37427083332
1_7_2012-11-09,23397.120910714286
1_7_2012-11-16,22682.307767857135
1_7_2012-11-23,66748.33860714287
1_7_2012-11-30,42202.963241071426
1_7_2012-12-07,53326.45001785715
1_7_2012-12-14,78084.93921726188
1_7_2012-12-21,144919.08636011905
1_7_2012-12-28,38363.18515178572
1_7_2013-01-04,13486.640592261907
1_7_2013-01-11,10542.463898809525
1_7_2013-01-18,10722.625818452381
1_7_2013-01-25,11419.00398809524
1_7_2013-02-01,16778.55581845238
1_7_2013-02-08,19260.612252976196
1_7_2013-02-15,17307.47036607143
1_7_2013-02-22,16700.07480059524
1_7_2013-03-01,16927.38618452382
1_7_2013-03-08,17961.167625
1_7_2013-03-15,19658.7965
1_7_2013-03-22,17360.922931335033
1_7_2013-03-29,19398.035910714294
1_7_2013-04-05,23440.16711309523
1_7_2013-04-12,21105.910717261915
1_7_2013-04-19,20018.022830357153
1_7_2013-04-26,20166.33119345238
1_7_2013-05-03,21712.779157738096
1_7_2013-05-10,21950.880110119044
1_7_2013-05-17,20816.22479761905
1_7_2013-05-24,29124.723291666665
1_7_2013-05-31,33245.50393154762
1_7_2013-06-07,29822.43854081633
1_7_2013-06-14,27312.110564625847
1_7_2013-06-21,25766.576821428574
1_7_2013-06-28,24877.457155612243
1_7_2013-07-05,24601.331157738092
1_7_2013-07-12,18868.182925595243
1_7_2013-07-19,17032.671102891156
1_7_2013-07-26,16841.96355527211
1_8_2012-11-02,39004.34398809524
1_8_2012-11-09,39004.34398809524
1_8_2012-11-16,39004.34398809524
1_8_2012-11-23,34081.94128316326
1_8_2012-11-30,36774.89414625852
1_8_2012-12-07,37196.65373554424
1_8_2012-12-14,37390.91919047622
1_8_2012-12-21,40668.85427976192
1_8_2012-12-28,33287.40057440475
1_8_2013-01-04,36071.30162563776
1_8_2013-01-11,35202.23540539965
1_8_2013-01-18,35318.1254589711
1_8_2013-01-25,35360.92331611396
1_8_2013-02-01,38624.66878869048
1_8_2013-02-08,38432.05221726189
1_8_2013-02-15,37677.84053018707
1_8_2013-02-22,37591.041720663256
1_8_2013-03-01,38658.27559226188
1_8_2013-03-08,37085.37909523808
1_8_2013-03-15,36283.93550892857
1_8_2013-03-22,35498.42708630952
1_8_2013-03-29,37724.42354464285
1_8_2013-04-05,39415.71602976192
1_8_2013-04-12,38277.378690476195
1_8_2013-04-19,37514.936934523816
1_8_2013-04-26,38477.79754166667
1_8_2013-05-03,39967.79508630954
1_8_2013-05-10,39118.14565476192
1_8_2013-05-17,38413.18046130952
1_8_2013-05-24,39050.71082440475
1_8_2013-05-31,40065.752738095245
1_8_2013-06-07,40099.41604166668
1_8_2013-06-14,38856.797889880945
1_8_2013-06-21,38087.48492261903
1_8_2013-06-28,38334.81447619045
1_8_2013-07-05,40168.99723511904
1_8_2013-07-12,37808.01892559525
1_8_2013-07-19,37382.778005952394
1_8_2013-07-26,37483.98431122449
1_9_2012-11-02,46831.396925595254
1_9_2012-11-09,39696.19599107143
1_9_2012-11-16,32081.325029761916
1_9_2012-11-23,40058.996767857134
1_9_2012-11-30,25390.58900892857
1_9_2012-12-07,28402.63994940477
1_9_2012-12-14,30450.780202380953
1_9_2012-12-21,43533.76425
1_9_2012-12-28,27194.37629464284
1_9_2013-01-04,18148.188369047617
1_9_2013-01-11,15313.002235119046
1_9_2013-01-18,14222.356794642857
1_9_2013-01-25,14407.518342261907
1_9_2013-02-01,19853.713273809528
1_9_2013-02-08,20534.519559523807
1_9_2013-02-15,23680.58237797619
1_9_2013-02-22,25025.579589285706
1_9_2013-03-01,29779.893464285713
1_9_2013-03-08,29870.65838095238
1_9_2013-03-15,34572.28945833334
1_9_2013-03-22,35282.49590773811
1_9_2013-03-29,41854.29734821429
1_9_2013-04-05,39596.47468749999
1_9_2013-04-12,34920.87517559523
1_9_2013-04-19,30738.77117559526
1_9_2013-04-26,30241.092056547637
1_9_2013-05-03,30390.784675595252
1_9_2013-05-10,28290.878788690483
1_9_2013-05-17,27616.52448511906
1_9_2013-05-24,29398.724083333334
1_9_2013-05-31,32640.306949404756
1_9_2013-06-07,30520.101443452386
1_9_2013-06-14,29943.27790178572
1_9_2013-06-21,28244.66833333333
1_9_2013-06-28,26496.5662797619
1_9_2013-07-05,30117.839196428577
1_9_2013-07-12,22889.349273809516
1_9_2013-07-19,22556.42395833333
1_9_2013-07-26,22706.358288690473
1_10_2012-11-02,29194.280550595246
1_10_2012-11-09,28828.029413690474
1_10_2012-11-16,27533.987443452377
1_10_2012-11-23,30820.991300595237
1_10_2012-11-30,30567.343372023806
1_10_2012-12-07,31573.650520833333
1_10_2012-12-14,30300.464645833337
1_10_2012-12-21,31241.961854166668
1_10_2012-12-28,26381.671499999993
1_10_2013-01-04,26036.157080357156
1_10_2013-01-11,24324.174907738092
1_10_2013-01-18,24750.929119047625
1_10_2013-01-25,25251.46380952381
1_10_2013-02-01,34381.3155654762
1_10_2013-02-08,37373.7420565476
1_10_2013-02-15,38890.914672619045
1_10_2013-02-22,38342.00955357141
1_10_2013-03-01,37877.22285714286
1_10_2013-03-08,35361.617912840135
1_10_2013-03-15,34469.566951530614
1_10_2013-03-22,35606.31151190477
1_10_2013-03-29,39862.07763392858
1_10_2013-04-05,38148.814044642866
1_10_2013-04-12,31276.01163988096
1_10_2013-04-19,30391.524473214286
1_10_2013-04-26,30623.9498422619
1_10_2013-05-03,33459.45910416664
1_10_2013-05-10,31981.13444642856
1_10_2013-05-17,31686.17188690475
1_10_2013-05-24,33610.55126488095
1_10_2013-05-31,36191.47991666666
1_10_2013-06-07,35799.65891369048
1_10_2013-06-14,34116.70598214286
1_10_2013-06-21,33179.4484077381
1_10_2013-06-28,33482.90645833333
1_10_2013-07-05,37093.18190476192
1_10_2013-07-12,32263.895011904773
1_10_2013-07-19,30453.73779761905
1_10_2013-07-26,30465.38267559524
1_11_2012-11-02,25900.30486904761
1_11_2012-11-09,23007.252395833326
1_11_2012-11-16,22775.563997023804
1_11_2012-11-23,29881.557258928577
1_11_2012-11-30,31758.220366071422
1_11_2012-12-07,34238.14464880953
1_11_2012-12-14,30070.84970833333
1_11_2012-12-21,31900.014982142864
1_11_2012-12-28,24310.398285714287
1_11_2013-01-04,24758.487708333334
1_11_2013-01-11,26230.14988095238
1_11_2013-01-18,21076.437366071437
1_11_2013-01-25,19889.83502678572
1_11_2013-02-01,22901.175568452374
1_11_2013-02-08,24461.2399617347
1_11_2013-02-15,24784.52455697279
1_11_2013-02-22,22843.781785714284
1_11_2013-03-01,22884.478601190483
1_11_2013-03-08,22769.80660714286
1_11_2013-03-15,23926.480692602046
1_11_2013-03-22,25168.499710034008
1_11_2013-03-29,24702.288235969383
1_11_2013-04-05,26497.519269132645
1_11_2013-04-12,23158.213332482992
1_11_2013-04-19,22329.103458333335
1_11_2013-04-26,22089.73677083334
1_11_2013-05-03,28041.931933673455
1_11_2013-05-10,27696.729528911557
1_11_2013-05-17,24484.875073554424
1_11_2013-05-24,26969.800389030603
1_11_2013-05-31,33920.94886309523
1_11_2013-06-07,33885.1427797619
1_11_2013-06-14,29349.405875000004
1_11_2013-06-21,31017.675488095236
1_11_2013-06-28,38224.89194047619
1_11_2013-07-05,34496.76166666667
1_11_2013-07-12,27890.592899234696
1_11_2013-07-19,26802.591354591837
1_11_2013-07-26,29084.985756377548
1_12_2012-11-02,9295.35602423469
1_12_2012-11-09,9638.56328273809
1_12_2012-11-16,8970.816987670063
1_12_2012-11-23,8843.60048767007
1_12_2012-11-30,7807.76612159864
1_12_2012-12-07,7886.842772817463
1_12_2012-12-14,7847.950832341272
1_12_2012-12-21,7997.632225198414
1_12_2012-12-28,7752.223882936509
1_12_2013-01-04,7866.129020833332
1_12_2013-01-11,7861.14130952381
1_12_2013-01-18,8499.792553571433
1_12_2013-01-25,8598.566886904764
1_12_2013-02-01,9259.436654761901
1_12_2013-02-08,9361.80663690476
1_12_2013-02-15,9916.350875
1_12_2013-02-22,10821.427589285713
1_12_2013-03-01,12015.346116921768
1_12_2013-03-08,12104.670599064628
1_12_2013-03-15,12526.045761904765
1_12_2013-03-22,11829.679291666673
1_12_2013-03-29,11685.28122619048
1_12_2013-04-05,11262.215645833334
1_12_2013-04-12,11137.048735119051
1_12_2013-04-19,11732.682214285716
1_12_2013-04-26,11394.399077380951
1_12_2013-05-03,12041.27027380952
1_12_2013-05-10,11656.229464285712
1_12_2013-05-17,11310.274255952378
1_12_2013-05-24,11787.557836309523
1_12_2013-05-31,11886.441556547617
1_12_2013-06-07,11280.650714285712
1_12_2013-06-14,10811.503508928568
1_12_2013-06-21,10152.310622023808
1_12_2013-06-28,11403.625898809521
1_12_2013-07-05,12625.589705357137
1_12_2013-07-12,10025.524288690473
1_12_2013-07-19,11850.591080357148
1_12_2013-07-26,11459.859529761905
1_13_2012-11-02,38651.5228592687
1_13_2012-11-09,38351.27564200679
1_13_2012-11-16,38404.372606292505
1_13_2012-11-23,40521.35124277211
1_13_2012-11-30,37770.385442602026
1_13_2012-12-07,37354.543767006784
1_13_2012-12-14,36898.653442602015
1_13_2012-12-21,37354.718847363925
1_13_2012-12-28,38632.83425170067
1_13_2013-01-04,39766.53581547616
1_13_2013-01-11,37999.76076785715
1_13_2013-01-18,37534.757702380964
1_13_2013-01-25,36826.93955654762
1_13_2013-02-01,41104.19478869048
1_13_2013-02-08,42933.85339243198
1_13_2013-02-15,40375.70736011905
1_13_2013-02-22,40480.55629464286
1_13_2013-03-01,42736.06457738096
1_13_2013-03-08,41466.09993154763
1_13_2013-03-15,38630.52822916668
1_13_2013-03-22,38296.06168452382
1_13_2013-03-29,39069.238767857125
1_13_2013-04-05,42492.44088690476
1_13_2013-04-12,40295.680190476196
1_13_2013-04-19,39630.34516369049
1_13_2013-04-26,39750.55430654763
1_13_2013-05-03,41830.761526785696
1_13_2013-05-10,40039.31316964286
1_13_2013-05-17,38381.697577380946
1_13_2013-05-24,38532.32209523809
1_13_2013-05-31,40602.404830357154
1_13_2013-06-07,41199.96504464287
1_13_2013-06-14,39813.199607142866
1_13_2013-06-21,39396.33898809524
1_13_2013-06-28,40139.941651785724
1_13_2013-07-05,41701.68274999998
1_13_2013-07-12,40492.040747023806
1_13_2013-07-19,39521.81283035715
1_13_2013-07-26,38718.219737244886
1_14_2012-11-02,11904.205074404761
1_14_2012-11-09,12844.970050595239
1_14_2012-11-16,16713.14798363095
1_14_2012-11-23,37958.04672916668
1_14_2012-11-30,18184.424464285716
1_14_2012-12-07,22504.052309523813
1_14_2012-12-14,27652.11966071428
1_14_2012-12-21,47561.06060671771
1_14_2012-12-28,23484.470360119052
1_14_2013-01-04,15915.265934523808
1_14_2013-01-11,14095.656749999996
1_14_2013-01-18,12872.61711607143
1_14_2013-01-25,12416.444413690479
1_14_2013-02-01,15940.711741071425
1_14_2013-02-08,17946.31300595238
1_14_2013-02-15,19645.77769345238
1_14_2013-02-22,18441.75508928571
1_14_2013-03-01,18853.81273809524
1_14_2013-03-08,16413.42978869048
1_14_2013-03-15,13219.187220238093
1_14_2013-03-22,13256.149764880949
1_14_2013-03-29,14553.2063125
1_14_2013-04-05,14973.78021428571
1_14_2013-04-12,14851.245389880949
1_14_2013-04-19,14406.244901785705
1_14_2013-04-26,14717.790767857137
1_14_2013-05-03,15596.361157738098
1_14_2013-05-10,15779.464758928574
1_14_2013-05-17,15717.359848214293
1_14_2013-05-24,14725.918383928572
1_14_2013-05-31,14539.30835416667
1_14_2013-06-07,13577.87194047619
1_14_2013-06-14,13642.138252976194
1_14_2013-06-21,13729.437747023814
1_14_2013-06-28,15918.327619047619
1_14_2013-07-05,16889.113545918368
1_14_2013-07-12,15673.92872448979
1_14_2013-07-19,13554.690267857144
1_14_2013-07-26,12816.391446428574
1_16_2012-11-02,6917.7783779761885
1_16_2012-11-09,6261.44573511905
1_16_2012-11-16,5336.521461309524
1_16_2012-11-23,8638.008526785718
1_16_2012-11-30,5301.582842261903
1_16_2012-12-07,5150.942011904762
1_16_2012-12-14,4955.515605442178
1_16_2012-12-21,6738.804678571431
1_16_2012-12-28,5664.024291666667
1_16_2013-01-04,6112.084779336734
1_16_2013-01-11,5965.86419897959
1_16_2013-01-18,6263.420085884354
1_16_2013-01-25,6435.324020833333
1_16_2013-02-01,10501.241196003404
1_16_2013-02-08,12646.594419217685
1_16_2013-02-15,12639.588343112244
1_16_2013-02-22,19994.026497023813
1_16_2013-03-01,30379.560297619057
1_16_2013-03-08,30873.68360119049
1_16_2013-03-15,42385.55601785714
1_16_2013-03-22,42804.39619940475
1_16_2013-03-29,53080.19496726189
1_16_2013-04-05,57058.81664285714
1_16_2013-04-12,54304.68310416667
1_16_2013-04-19,46122.199892857156
1_16_2013-04-26,42867.016375
1_16_2013-05-03,42949.12992261903
1_16_2013-05-10,40492.60056845239
1_16_2013-05-17,38219.90203358843
1_16_2013-05-24,41442.54953018708
1_16_2013-05-31,44899.83714243197
1_16_2013-06-07,35084.482258928576
1_16_2013-06-14,34410.25293154763
1_16_2013-06-21,35755.96370238094
1_16_2013-06-28,36555.27236607142
1_16_2013-07-05,39775.60764880951
1_16_2013-07-12,24401.543461309535
1_16_2013-07-19,23581.756690476206
1_16_2013-07-26,23337.121934523817
1_17_2012-11-02,7721.749732142853
1_17_2012-11-09,7564.634464285715
1_17_2012-11-16,8948.656830357142
1_17_2012-11-23,12127.980985119055
1_17_2012-11-30,10323.75763562925
1_17_2012-12-07,10495.10517729592
1_17_2012-12-14,11911.698835034014
1_17_2012-12-21,17121.83545875851
1_17_2012-12-28,10750.615584821431
1_17_2013-01-04,8392.461791666667
1_17_2013-01-11,8665.459752976189
1_17_2013-01-18,7860.327157738093
1_17_2013-01-25,7598.269389880955
1_17_2013-02-01,8864.919062500005
1_17_2013-02-08,10616.462232142858
1_17_2013-02-15,11139.560401785713
1_17_2013-02-22,10326.687565476192
1_17_2013-03-01,11140.464579081638
1_17_2013-03-08,10600.379332057824
1_17_2013-03-15,9507.193488095236
1_17_2013-03-22,8083.32288860544
1_17_2013-03-29,8326.608158588437
1_17_2013-04-05,8363.229694302723
1_17_2013-04-12,7513.74440348639
1_17_2013-04-19,8228.491686224492
1_17_2013-04-26,8006.8834005102035
1_17_2013-05-03,8798.254866071426
1_17_2013-05-10,8576.403773809523
1_17_2013-05-17,8677.60246428572
1_17_2013-05-24,7460.364083333337
1_17_2013-05-31,7118.76042261905
1_17_2013-06-07,8434.794208333336
1_17_2013-06-14,7890.870607142859
1_17_2013-06-21,7182.037726190472
1_17_2013-06-28,7938.270051445576
1_17_2013-07-05,8135.524872874148
1_17_2013-07-12,7418.507172619049
1_17_2013-07-19,7443.233886904765
1_17_2013-07-26,8089.260571428576
1_18_2012-11-02,13041.925059523803
1_18_2012-11-09,10957.555763605442
1_18_2012-11-16,14536.95165178571
1_18_2012-11-23,30154.07113095238
1_18_2012-11-30,47528.87420833333
1_18_2012-12-07,43820.12434226188
1_18_2012-12-14,33732.517468112266
1_18_2012-12-21,24721.514003826534
1_18_2012-12-28,22549.154654761904
1_18_2013-01-04,7181.850752976187
1_18_2013-01-11,1703.8289285714288
1_18_2013-01-18,1560.1052440476183
1_18_2013-01-25,1834.5455446428568
1_18_2013-02-01,3642.84793154762
1_18_2013-02-08,13169.607494047614
1_18_2013-02-15,26832.178338435388
1_18_2013-02-22,1811.7302321428572
1_18_2013-03-01,1287.93387797619
1_18_2013-03-08,1119.5188348214288
1_18_2013-03-15,1555.8994732142855
1_18_2013-03-22,2037.1911577380954
1_18_2013-03-29,3594.389755952382
1_18_2013-04-05,12557.004247023808
1_18_2013-04-12,5238.931785714287
1_18_2013-04-19,439.63315688775504
1_18_2013-04-26,66.08972023809524
1_18_2013-05-03,0.8793554421768706
1_18_2013-05-10,15.493133928571433
1_18_2013-05-17,1.7103050637274675
1_18_2013-05-24,1.9479915675287665
1_18_2013-06-07,1.9349888759029168
1_18_2013-07-05,1.4288298642838926
1_19_2012-11-02,1388.5388392857137
1_19_2012-11-09,1381.0253869047615
1_19_2012-11-16,1374.5537797619047
1_19_2012-11-23,1272.7171815476183
1_19_2012-11-30,1493.8170267857145
1_19_2012-12-07,1552.6637678571426
1_19_2012-12-14,1515.4869374999996
1_19_2012-12-21,1699.827205357142
1_19_2012-12-28,1199.8631339285712
1_19_2013-01-04,683.9143422619051
1_19_2013-01-11,733.7864791666669
1_19_2013-01-18,753.5238452380954
1_19_2013-01-25,774.1518154761907
1_19_2013-02-01,1002.8288988095243
1_19_2013-02-08,950.9215922619051
1_19_2013-02-15,876.7558154761903
1_19_2013-02-22,943.5269017857141
1_19_2013-03-01,891.4820089285716
1_19_2013-03-08,1302.9586755952382
1_19_2013-03-15,1267.208
1_19_2013-03-22,1081.1564062500001
1_19_2013-03-29,1016.9762157738096
1_19_2013-04-05,947.2373824404758
1_19_2013-04-12,836.5912633928568
1_19_2013-04-19,1048.7569285714285
1_19_2013-04-26,845.5755267857139
1_19_2013-05-03,1099.7702848639458
1_19_2013-05-10,1537.1401643282309
1_19_2013-05-17,1498.126650935374
1_19_2013-05-24,1265.0635199829937
1_19_2013-05-31,1284.6477708333337
1_19_2013-06-07,1227.206824404762
1_19_2013-06-14,1025.2487261904762
1_19_2013-06-21,1094.7746301020404
1_19_2013-06-28,1090.4361926020408
1_19_2013-07-05,1124.7649991496598
1_19_2013-07-12,1042.387836309524
1_19_2013-07-19,993.7000684523808
1_19_2013-07-26,1020.5286577380951
1_20_2012-11-02,3052.2573401360537
1_20_2012-11-09,3034.4284047619044
1_20_2012-11-16,3046.005875
1_20_2012-11-23,5178.393526785715
1_20_2012-11-30,3079.0770952380954
1_20_2012-12-07,3115.2272291666673
1_20_2012-12-14,3465.502016156462
1_20_2012-12-21,5116.554946003402
1_20_2012-12-28,4269.807490646258
1_20_2013-01-04,3562.215672619047
1_20_2013-01-11,4053.903863095238
1_20_2013-01-18,3959.2230029761913
1_20_2013-01-25,3749.8509613095243
1_20_2013-02-01,4249.773273809525
1_20_2013-02-08,5500.136026785716
1_20_2013-02-15,5374.835538690474
1_20_2013-02-22,5111.407562499998
1_20_2013-03-01,5320.071372023807
1_20_2013-03-08,6307.70697916667
1_20_2013-03-15,5325.829020833335
1_20_2013-03-22,4567.712988095238
1_20_2013-03-29,4887.301663690478
1_20_2013-04-05,4203.72913095238
1_20_2013-04-12,3807.6590119047623
1_20_2013-04-19,4152.280264880954
1_20_2013-04-26,4640.902860119047
1_20_2013-05-03,4638.705791666665
1_20_2013-05-10,4611.931928571427
1_20_2013-05-17,4993.76992729592
1_20_2013-05-24,4784.617213010205
1_20_2013-05-31,4699.407196428571
1_20_2013-06-07,4717.432711309523
1_20_2013-06-14,4459.872767857144
1_20_2013-06-21,4794.662898809525
1_20_2013-06-28,5043.139976190475
1_20_2013-07-05,5226.721523809521
1_20_2013-07-12,4074.6015714285704
1_20_2013-07-19,4351.637273809523
